index  confidence   rules
 98    1.000        ['0', '5']=>['1', '7']
 99    1.000        ['7', '5']=>['0', '1']
 100   1.000        ['1', '5']=>['0', '7']
 101   1.000        ['0', '7']=>['1', '5']
 102   1.000        ['5']=>['0', '1', '7']
 103   1.000        ['7']=>['0', '1', '5']
 104   1.000        ['0', '10', '2']=>['1']
 105   1.000        ['0', '2', '1']=>['10']
 106   1.000        ['10', '2', '1']=>['0']
 107   1.000        ['0', '2']=>['10', '1']
 108   1.000        ['10', '2']=>['0', '1']
 109   1.000        ['2', '1']=>['0', '10']
 110   1.000        ['2']=>['0', '10', '1']
 111   1.000        ['8', '0', '2']=>['10']
 112   1.000        ['8', '0', '10']=>['2']
 113   1.000        ['8', '10', '2']=>['0']
 114   1.000        ['0', '10', '2']=>['8']
 115   1.000        ['8', '0']=>['10', '2']
 116   1.000        ['10', '2']=>['8', '0']
 117   1.000        ['8', '10']=>['0', '2']
 118   1.000        ['8', '2']=>['0', '10']
 119   1.000        ['0', '2']=>['8', '10']
 120   1.000        ['2']=>['8', '0', '10']
 121   1.000        ['8']=>['0', '10', '2']
 122   1.000        ['8', '10', '2']=>['1']
 123   1.000        ['8', '2', '1']=>['10']
 124   1.000        ['8', '10', '1']=>['2']
 125   1.000        ['10', '2', '1']=>['8']
 126   1.000        ['8', '2']=>['10', '1']
 127   1.000        ['8', '10']=>['2', '1']
 128   1.000        ['8', '1']=>['10', '2']
 129   1.000        ['10', '2']=>['8', '1']
 130   1.000        ['2', '1']=>['8', '10']
 131   1.000        ['8']=>['10', '2', '1']
 132   1.000        ['2']=>['8', '10', '1']
 133   1.000        ['0', '7', '5']=>['10']
 134   1.000        ['0', '10', '7']=>['5']
 135   1.000        ['10', '7', '5']=>['0']
 136   1.000        ['0', '10', '5']=>['7']
 137   1.000        ['0', '5']=>['10', '7']
 138   1.000        ['10', '7']=>['0', '5']
 139   1.000        ['10', '5']=>['0', '7']
 140   1.000        ['7', '5']=>['0', '10']
 141   1.000        ['0', '7']=>['10', '5']
 142   1.000        ['7']=>['0', '10', '5']
 143   1.000        ['5']=>['0', '10', '7']
 144   1.000        ['0', '10', '5']=>['1']
 145   1.000        ['0', '1', '5']=>['10']
 146   1.000        ['10', '1', '5']=>['0']
 147   1.000        ['0', '5']=>['10', '1']
 148   1.000        ['10', '5']=>['0', '1']
 149   1.000        ['1', '5']=>['0', '10']
 150   1.000        ['5']=>['0', '10', '1']
 151   1.000        ['10', '7', '5']=>['1']
 152   1.000        ['1', '7', '5']=>['10']
 153   1.000        ['10', '1', '7']=>['5']
 154   1.000        ['10', '1', '5']=>['7']
 155   1.000        ['7', '5']=>['10', '1']
 156   1.000        ['1', '5']=>['10', '7']
 157   1.000        ['10', '5']=>['1', '7']
 158   1.000        ['10', '7']=>['1', '5']
 159   1.000        ['1', '7']=>['10', '5']
 160   1.000        ['5']=>['10', '1', '7']
 161   1.000        ['7']=>['10', '1', '5']
 162   1.000        ['0', '10', '7']=>['1']
 163   1.000        ['0', '1', '7']=>['10']
 164   1.000        ['10', '1', '7']=>['0']
 165   1.000        ['0', '7']=>['10', '1']
 166   1.000        ['10', '7']=>['0', '1']
 167   1.000        ['1', '7']=>['0', '10']
 168   1.000        ['7']=>['0', '10', '1']
 169   1.000        ['8', '0', '10']=>['1']
 170   1.000        ['8', '0', '1']=>['10']
 171   1.000        ['8', '10', '1']=>['0']
 172   1.000        ['8', '0']=>['10', '1']
 173   1.000        ['8', '10']=>['0', '1']
 174   1.000        ['8', '1']=>['0', '10']
 175   1.000        ['8']=>['0', '10', '1']
 176   1.000        ['8', '0', '2']=>['1']
 177   1.000        ['8', '0', '1']=>['2']
 178   1.000        ['8', '2', '1']=>['0']
 179   1.000        ['0', '2', '1']=>['8']
 180   1.000        ['8', '0']=>['2', '1']
 181   1.000        ['8', '2']=>['0', '1']
 182   1.000        ['0', '2']=>['8', '1']
 183   1.000        ['2', '1']=>['8', '0']
 184   1.000        ['8', '1']=>['0', '2']
 185   1.000        ['8']=>['0', '2', '1']
 186   1.000        ['2']=>['8', '0', '1']
 187   1.000        ['0', '10', '7', '5']=>['1']
 188   1.000        ['0', '1', '7', '5']=>['10']
 189   1.000        ['0', '10', '1', '7']=>['5']
 190   1.000        ['10', '1', '7', '5']=>['0']
 191   1.000        ['0', '10', '1', '5']=>['7']
 192   1.000        ['0', '7', '5']=>['10', '1']
 193   1.000        ['0', '1', '5']=>['10', '7']
 194   1.000        ['10', '1', '7']=>['0', '5']
 195   1.000        ['0', '10', '5']=>['1', '7']
 196   1.000        ['10', '7', '5']=>['0', '1']
 197   1.000        ['10', '1', '5']=>['0', '7']
 198   1.000        ['0', '10', '7']=>['1', '5']
 199   1.000        ['1', '7', '5']=>['0', '10']
 200   1.000        ['0', '1', '7']=>['10', '5']
 201   1.000        ['1', '7']=>['0', '10', '5']
 202   1.000        ['1', '5']=>['0', '10', '7']
 203   1.000        ['7', '5']=>['0', '10', '1']
 204   1.000        ['10', '5']=>['0', '1', '7']
 205   1.000        ['10', '7']=>['0', '1', '5']
 206   1.000        ['0', '5']=>['10', '1', '7']
 207   1.000        ['0', '7']=>['10', '1', '5']
 208   1.000        ['7']=>['0', '10', '1', '5']
 209   1.000        ['5']=>['0', '10', '1', '7']
 210   1.000        ['8', '0', '10', '2']=>['1']
 211   1.000        ['8', '0', '2', '1']=>['10']
 212   1.000        ['8', '0', '10', '1']=>['2']
 213   1.000        ['8', '10', '2', '1']=>['0']
 214   1.000        ['0', '10', '2', '1']=>['8']
 215   1.000        ['8', '0', '2']=>['10', '1']
 216   1.000        ['8', '0', '10']=>['2', '1']
 217   1.000        ['8', '0', '1']=>['10', '2']
 218   1.000        ['8', '10', '2']=>['0', '1']
 219   1.000        ['0', '10', '2']=>['8', '1']
 220   1.000        ['10', '2', '1']=>['8', '0']
 221   1.000        ['8', '10', '1']=>['0', '2']
 222   1.000        ['8', '2', '1']=>['0', '10']
 223   1.000        ['0', '2', '1']=>['8', '10']
 224   1.000        ['2', '1']=>['8', '0', '10']
 225   1.000        ['8', '0']=>['10', '2', '1']
 226   1.000        ['0', '2']=>['8', '10', '1']
 227   1.000        ['8', '2']=>['0', '10', '1']
 228   1.000        ['8', '10']=>['0', '2', '1']
 229   1.000        ['10', '2']=>['8', '0', '1']
 230   1.000        ['8', '1']=>['0', '10', '2']
 231   1.000        ['8']=>['0', '10', '2', '1']
 232   1.000        ['2']=>['8', '0', '10', '1']
